"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:330","33,5 m²","zapytaj","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"330 000 zl","https://www.otodom.pl/pl/oferta/miejsce-w-cenie-mozliwe-dodatkowy-rabat-2-pokoje-ID4hfyq","wroclaw",NA,NA,NA
"1:331","30,43 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok","plastikowe","tak","internet","domofon / wideofon",NA,"362 117 zl","https://www.otodom.pl/pl/oferta/gotowe-2-pokoje-balkon-jagodno-ID4hfvz","wroclaw",NA,NA,NA
"1:332","28,04 m²","pelna wlasnosc","1 ","do wykonczenia","5/12","balkon","280 zl","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2021","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","297 831 zl","https://www.otodom.pl/pl/oferta/gotowe-centrum-okolice-business-garden-i-magnolii-ID4ejzw","wroclaw",NA,NA,NA
"1:333","32,62 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","taras","380 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka","410 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokoje-z-tarasem-ID4gHi2","wroclaw","silikat",NA,NA
"1:334","15 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","balkon","260 zl","zapytaj","","elektryczne","wtórny","prywatny",NA,"blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe","lodówka, meble, kuchenka","230 000 zl","https://www.otodom.pl/pl/oferta/blisko-rynku-swietna-inwestycja-pod-klucz-agd-ID4h2eM","wroclaw","wielka plyta",NA,NA
"1:335","35,54 m²","spóldzielcze wlasnosciowe","2 ","do remontu","2/4","balkon","284 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1969","blok","drewniane","nie",NA,"domofon / wideofon","kuchenka","370 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-rozkladowe-osobna-kuchnia-loggia-szczepin-ID4hfov","wroclaw","beton","piwnica, oddzielna kuchnia",NA
"1:336","38 m²","zapytaj","1 ","zapytaj","5/6","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,"473 770 zl","https://www.otodom.pl/pl/oferta/inwestycja-w-centrum-miasta-ID4hfm0","wroclaw",NA,NA,NA
"1:337","29,36 m²","zapytaj","1 ","zapytaj","parter/6","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-ID4hflZ","wroclaw",NA,NA,NA
"1:338","36,96 m²","zapytaj","2 ","zapytaj","parter/8","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022",NA,NA,"nie",NA,NA,NA,"439 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-wroclaw-szczepin-ID4hflV","wroclaw",NA,NA,NA
"1:339","28,52 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bez-prowizji-ID4g3Kz","wroclaw",NA,NA,NA
"1:340","30,76 m²","zapytaj","2 ","zapytaj","1/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","kamienica",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"475 700 zl","https://www.otodom.pl/pl/oferta/centrum-nowoczesna-kamienica-ID4hfaL","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:341","28,58 m²","zapytaj","2 ","zapytaj","6/4","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","kamienica",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"457 500 zl","https://www.otodom.pl/pl/oferta/nowoczesna-kamienica-w-samym-centrum-ID4hfaJ","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:342","31,37 m²","zapytaj","2 ","zapytaj","1/4","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2024","kamienica",NA,"tak","telewizja kablowa, internet, telefon",NA,NA,"513 700 zl","https://www.otodom.pl/pl/oferta/plac-bema-nowoczesna-kamienica-ID4hfaI","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:343","32,29 m²","pelna wlasnosc","1 ","zapytaj","1/7","balkon","406 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2013","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"440 000 zl","https://www.otodom.pl/pl/oferta/komfortowe-do-mieszkania-i-na-biuro-w-centrum-ID4hfaj","wroclaw","inne",NA,"2022-07-30"
"1:344","27,71 m²","pelna wlasnosc","1 ","do wykonczenia","2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2021",NA,NA,"nie",NA,NA,NA,"396 000 zl","https://www.otodom.pl/pl/oferta/jednopokojowe-mieszkanie-w-samym-sercu-miasta-ID4hf8R","wroclaw",NA,NA,NA
"1:345","32,29 m²","pelna wlasnosc","1 ","zapytaj","1/7","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"440 000 zl","https://www.otodom.pl/pl/oferta/plomba-idealna-inwestycja-centrum-nowe-budownictwo-ID4hf2d","wroclaw","inne","pom. uzytkowe","2022-06-20"
"1:346","37,99 m²","pelna wlasnosc","1 ","zapytaj","4/9","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"464 490 zl","https://www.otodom.pl/pl/oferta/gotowe-juz-latem-stare-miasto-odra-bez-pcc-ID4heZr","wroclaw","inne",NA,"2022-08-03"
"1:347","27,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek, taras","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"337 106 zl","https://www.otodom.pl/pl/oferta/kawalerka-ogrodek-18-5m2-super-cena-ID4heZd","wroclaw",NA,NA,NA
"1:348","38 m²","zapytaj","2 ","zapytaj","4/10","zapytaj","315 zl","zapytaj","FilmWirtualny spacer","zapytaj","wtórny","biuro nieruchomosci ","1976",NA,NA,"nie",NA,NA,NA,"429 000 zl","https://www.otodom.pl/pl/oferta/nowa-cena-38-m2-2-pok-po-remoncie-ID4heYX","wroclaw",NA,NA,NA
"1:349","19,59 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","2024","apartamentowiec",NA,"nie",NA,NA,NA,"325 194 zl","https://www.otodom.pl/pl/oferta/mikroapartament-z-widokiem-na-park-ID4gbPl","wroclaw",NA,NA,NA
"1:350","36,15 m²","zapytaj","2 ","do wykonczenia","7/10","balkon, taras","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak","telewizja kablowa, internet",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/ogrody-grabiszynskie-ii-etap-a-8-m-06-ID4dQZS","wroclaw",NA,NA,NA
"1:351","30,7 m²","pelna wlasnosc","1 ","do zamieszkania","5/5","zapytaj","120 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica",NA,"nie",NA,NA,"meble","284 900 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-7-m2-w-okolicy-ulicy-slowianskiej-ID4h59U","wroclaw","cegla","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:352","23,71 m²","pelna wlasnosc","1 ","do remontu","4/11","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","internet, telefon","domofon / wideofon",NA,"350 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-doskonala-na-inwestycje-blisko-sky-tower-ID4fAOF","wroclaw",NA,NA,NA
"1:353","33,39 m²","pelna wlasnosc","1 ","zapytaj","4/5","balkon","410 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec",NA,"tak","telewizja kablowa","domofon / wideofon, monitoring / ochrona","meble","660 000 zl","https://www.otodom.pl/pl/oferta/lux-kawalerka-z-komorka-lokatorska-ksiecia-witolda-ID4fKrH","wroclaw",NA,NA,"2022-02-25"
"1:354","37,67 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-bezposrednio-ID4g3JQ","wroclaw",NA,NA,NA
"1:355","33 m²","zapytaj","2 ","do zamieszkania","3/8","zapytaj","330 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","szeregowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble, piekarnik, kuchenka","478 000 zl","https://www.otodom.pl/pl/oferta/hit-swietna-lokalizacja-centrum-bez-pcc-ID4hePk","wroclaw","silikat",NA,NA
"1:356","34,06 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","260 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2006",NA,"plastikowe","nie","telewizja kablowa, internet",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/gaj-cena-z-miejscem-postojowym-i-komorka-ID4heP9","wroclaw","cegla","pom. uzytkowe",NA
"1:357","32 m²","zapytaj","2 ","do wykonczenia","parter/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"302 000 zl","https://www.otodom.pl/pl/oferta/najtansze-z-ogrodem-2pok-blisko-komunikacji-ID4heOZ","wroclaw",NA,NA,NA
"1:358","34,5 m²","zapytaj","2 ","do zamieszkania","2/4","zapytaj","160 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,NA,"429 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokoje-niski-czynsz-krzyki-ID4heNP","wroclaw",NA,"piwnica",NA
"1:359","37,92 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","ogródek, taras","zapytaj","zapytaj","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, rolety antywlamaniowe",NA,"355 400 zl","https://www.otodom.pl/pl/oferta/rabat-30tys-2-pokoje-z-ogrodkiem-blisko-centrum-ID4heNB","wroclaw","cegla",NA,NA
"1:360","37 m²","zapytaj","2 ","do wykonczenia","parter/9","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"439 000 zl","https://www.otodom.pl/pl/oferta/do-negocjacji-obok-tramwaj-media-miejskie-ID4heMy","wroclaw",NA,NA,NA
"1:361","25 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","balkon","300 zl","garaz/miejsce parkingowe","tak","miejskie","wtórny","biuro nieruchomosci ","2010","blok","drewniane","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","349 000 zl","https://www.otodom.pl/pl/oferta/gotowe-studio-z-2010-roku-od-zaraz-balkon-7-m2-ID4heJH","wroclaw",NA,NA,NA
"1:362","25,5 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/12","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok",NA,"tak",NA,"monitoring / ochrona",NA,"305 000 zl","https://www.otodom.pl/pl/oferta/widok-na-miasto-blisko-park-idealne-pod-wynajem-ID4heJo","wroclaw",NA,NA,NA
"1:363","25,9 m²","pelna wlasnosc","1 ","do wykonczenia","6/12","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok",NA,"tak",NA,"monitoring / ochrona",NA,"311 000 zl","https://www.otodom.pl/pl/oferta/widok-na-park-gotowe-odbierz-klucze-ID4heJp","wroclaw",NA,NA,NA
"1:364","25,5 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok",NA,"tak",NA,"monitoring / ochrona",NA,"297 000 zl","https://www.otodom.pl/pl/oferta/najtansza-z-balkonem-idealna-pod-wynajem-zadzwon-ID4heJm","wroclaw",NA,NA,NA
"1:365","31,5 m²","zapytaj","2 ","do wykonczenia","parter/9","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona",NA,"389 000 zl","https://www.otodom.pl/pl/oferta/2pok-balkon-centrum-super-komunikacja-ID4heJn","wroclaw",NA,NA,NA
"1:366","38 m²","zapytaj","2 ","do remontu","1/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","tak",NA,NA,NA,"350 000 zl","https://www.otodom.pl/pl/oferta/swietna-lokalizacja-okolica-powstancow-slaskich-ID4heIG","wroclaw",NA,NA,NA
"1:367","26,3 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021","blok",NA,"tak",NA,"monitoring / ochrona",NA,"275 000 zl","https://www.otodom.pl/pl/oferta/gotowe-zadzwon-i-obejrzyj-lokal-ID4heFg","wroclaw",NA,NA,NA
"1:368","34 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","zapytaj","tak","zapytaj","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"369 000 zl","https://www.otodom.pl/pl/oferta/okazja-2m-balkon-komorka-lok-wysokosc-3-6-ID4heCX","wroclaw",NA,"piwnica",NA
"1:369","35,7 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","8/10","balkon","460 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","370 000 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkania-dla-pary-lub-studenta-ID4gUzM","wroclaw","wielka plyta","piwnica, oddzielna kuchnia",NA
"1:370","34,9 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"329 400 zl","https://www.otodom.pl/pl/oferta/oferta-biura-sprzedazy-d-pokoje-balkon-ID4hezC","wroclaw","silikat",NA,NA
"1:371","31 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"308 000 zl","https://www.otodom.pl/pl/oferta/biuro-sprzedazy-przejazdowa-17-balkon-ID4hezz","wroclaw","silikat",NA,NA
"1:372","33 m²","zapytaj","2 ","do wykonczenia","3/8","zapytaj","320 zl","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"428 000 zl","https://www.otodom.pl/pl/oferta/hit-inwestycyjny-lokalizacja-duze-okna-krzyki-ID4hevV","wroclaw","silikat",NA,NA
"1:373","35 m²","pelna wlasnosc","2 ","do zamieszkania","10/10","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","meble","340 000 zl","https://www.otodom.pl/pl/oferta/bardzo-ladne-2-pok-sloneczne-balkon-ID4feL7","wroclaw","wielka plyta","piwnica, pom. uzytkowe","2022-02-07"
"1:374","35,29 m²","pelna wlasnosc","2 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2024","blok","plastikowe","tak",NA,NA,NA,"361 428 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-balkonem-ID4heq8","wroclaw","silikat",NA,NA
"1:375","34 m²","pelna wlasnosc","1 ","do remontu","3/3","zapytaj","108 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1940","kamienica","drewniane","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"279 000 zl","https://www.otodom.pl/pl/oferta/hit-w-swietnej-lokalizacji-z-widokiem-na-sleze-ID4hepV","wroclaw","cegla","piwnica",NA
"1:376","37,06 m²","zapytaj","2 ","do wykonczenia","2/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,NA,NA,"379 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-zielona-okolica-media-miejskie-ID4heow","wroclaw",NA,NA,NA
"1:377","37,5 m²","zapytaj","2 ","do wykonczenia","3/6","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"464 490 zl","https://www.otodom.pl/pl/oferta/tramwaj-wysoki-standard-winda-balkon-7min-centrum-ID4henN","wroclaw",NA,"piwnica",NA
"1:378","33 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","2/10","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1986","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"359 000 zl","https://www.otodom.pl/pl/oferta/okazja-blisko-uniwersytet-ekonomiczny-park-skowr-ID4hejp","wroclaw","wielka plyta","piwnica",NA
"1:379","35,52 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","balkon, taras","350 zl","garaz/miejsce parkingowe","tak","kotlownia","wtórny","biuro nieruchomosci ","2016","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","369 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-duza-loggia-osobna-kuchnia-winda-ID4h7SA","wroclaw","zelbet","oddzielna kuchnia, pom. uzytkowe",NA
"1:380","31 m²","pelna wlasnosc","1 ","do zamieszkania","3/6","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1996","plomba","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"396 800 zl","https://www.otodom.pl/pl/oferta/kawalerka-31m2-pl-grunwaldzki-top-lokalizacja-ID4heg1","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:381","34 m²","pelna wlasnosc","2 ","zapytaj","9/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"tak",NA,NA,NA,"369 000 zl","https://www.otodom.pl/pl/oferta/okolice-ul-parnickiego-inwestycja-balkon-piwnica-ID4hefy","wroclaw","wielka plyta","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:382","32,56 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-ID4dFcV","wroclaw",NA,NA,NA
"1:383","26 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"361 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-centrum-bez-pcc-bez-prowizji-ID4hef7","wroclaw",NA,"oddzielna kuchnia",NA
"1:384","28,89 m²","pelna wlasnosc","1 ","do wykonczenia","6/9","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","dom wolnostojacy","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"404 460 zl","https://www.otodom.pl/pl/oferta/super-lokalizacja-piekny-widok-ID4gkJz","wroclaw",NA,NA,"2022-04-18"
"1:385","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","9/10","zapytaj","zapytaj","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","385 000 zl","https://www.otodom.pl/pl/oferta/2-pok-z-osobna-kuchnia-gotowe-do-wprowadzeni-ID4gsDO","wroclaw","wielka plyta","oddzielna kuchnia",NA
"1:386","24 m²","zapytaj","1 ","do zamieszkania","2/4","zapytaj","275 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1930","kamienica",NA,"nie","telewizja kablowa, internet",NA,NA,"292 000 zl","https://www.otodom.pl/pl/oferta/tania-kawalerka-na-fabrycznej-24-m2-ID4heaz","wroclaw","cegla",NA,NA
"1:387","20,25 m²","pelna wlasnosc","1 ","zapytaj","parter/1","zapytaj","70 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","2003",NA,"plastikowe","nie",NA,NA,NA,"179 000 zl","https://www.otodom.pl/pl/oferta/maslice-poziom-0-biuro-kawalerka-z-lazienka-ID4h2Vd","wroclaw",NA,NA,NA
"1:388","37 m²","pelna wlasnosc","2 ","zapytaj","parter/5","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1915","kamienica","plastikowe","nie",NA,NA,"meble","489 000 zl","https://www.otodom.pl/pl/oferta/galeria-dominikanska-2-pokoje-pod-inwestycje-ID4gEUq","wroclaw",NA,"piwnica",NA
"1:389","22 m²","pelna wlasnosc","1 ","zapytaj","3/4","zapytaj","285 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,"meble","299 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-pilczyce-ul-gornicza-inwestycja-ID4gWo7","wroclaw",NA,NA,NA
"1:390","38 m²","zapytaj","2 ","do zamieszkania","1/10","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"415 000 zl","https://www.otodom.pl/pl/oferta/lux-rozklad-2-pok-przy-parku-poludniowym-ID4he9g","wroclaw","wielka plyta","piwnica, oddzielna kuchnia",NA
"1:391","31 m²","pelna wlasnosc","1 ","zapytaj","5/5","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1930",NA,"plastikowe","nie",NA,NA,"meble","285 000 zl","https://www.otodom.pl/pl/oferta/niemcewicza-pokoj-i-aneks-kuchenny-31-m2-ID4h90I","wroclaw",NA,"piwnica",NA
"1:392","35 m²","pelna wlasnosc","2 ","zapytaj","7/10","balkon","370 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1990",NA,"plastikowe","nie",NA,NA,"meble","445 000 zl","https://www.otodom.pl/pl/oferta/ul-sliczna-2-pokoje-35-m2-okolice-ferio-gaju-ID4hax8","wroclaw",NA,"piwnica",NA
"1:393","35,96 m²","pelna wlasnosc","2 ","do zamieszkania","1/10","balkon","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"tak",NA,NA,"meble","369 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-osobna-kuchnia-centrum-36-m-ID4g7Ng","wroclaw","wielka plyta","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
